,Unnamed: 0,Location,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results
0,0,Tokyo,2020,100m,Backstroke,Men,ROC,Evgeny Rylov,51.98
1,1,Tokyo,2020,100m,Backstroke,Men,ROC,Kliment Kolesnikov,52.0
2,2,Tokyo,2020,100m,Backstroke,Men,USA,Ryan Murphy,52.19
3,3,Tokyo,2020,100m,Backstroke,Men,ITA,Thomas Ceccon,52.3
4,4,Tokyo,2020,100m,Backstroke,Men,CHN,Jiayu Xu,52.51
5,5,Tokyo,2020,100m,Backstroke,Men,ESP,Hugo Gonzalez De Oliveira,52.78
6,6,Tokyo,2020,100m,Backstroke,Men,AUS,Mitchell Larkin,52.79
7,7,Tokyo,2020,100m,Backstroke,Men,ROU,Robert Glinta,52.95
8,8,Tokyo,2020,100m,Breaststroke,Men,GBR,Adam Peaty,57.37
9,9,Tokyo,2020,100m,Breaststroke,Men,NED,Arno Kamminga,58.0
10,10,Tokyo,2020,100m,Breaststroke,Men,ITA,Nicolo Martinenghi,58.33
11,11,Tokyo,2020,100m,Breaststroke,Men,USA,Michael Andrew,58.84
12,12,Tokyo,2020,100m,Breaststroke,Men,GBR,James Wilby,58.96
13,13,Tokyo,2020,100m,Breaststroke,Men,CHN,Zibei Yan,58.99
14,14,Tokyo,2020,100m,Breaststroke,Men,USA,Andrew Wilson,58.99
15,15,Tokyo,2020,100m,Breaststroke,Men,BLR,Ilya Shymanovich,59.36
16,16,Tokyo,2020,100m,Butterfly,Men,USA,Caeleb Dressel,49.45
17,17,Tokyo,2020,100m,Butterfly,Men,HUN,Kristof Kristof Milak,49.68
18,18,Tokyo,2020,100m,Butterfly,Men,SUI,Noe Ponti,50.74
19,19,Tokyo,2020,100m,Butterfly,Men,ROC,Andrei Minakov,50.88
20,20,Tokyo,2020,100m,Butterfly,Men,POL,Jakub Majerski,50.92
21,21,Tokyo,2020,100m,Butterfly,Men,AUS,Matthew Temple,50.92
22,22,Tokyo,2020,100m,Butterfly,Men,GUA,Luis Martinez,51.09
23,23,Tokyo,2020,100m,Butterfly,Men,BUL,Josif Miladinov,51.49
24,24,Tokyo,2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02
25,25,Tokyo,2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08
26,26,Tokyo,2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44
27,27,Tokyo,2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72
28,28,Tokyo,2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82
29,29,Tokyo,2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86
30,30,Tokyo,2020,100m,Freestyle,Men,ROU,David Popovici,48.04
31,31,Tokyo,2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1
96,96,Tokyo,2020,50m,Freestyle,Men,USA,Caeleb Dressel,21.07
97,97,Tokyo,2020,50m,Freestyle,Men,FRA,Florent Manaudou,21.55
98,98,Tokyo,2020,50m,Freestyle,Men,BRA,Bruno Fratus,21.57
99,99,Tokyo,2020,50m,Freestyle,Men,USA,Michael Andrew,21.6
100,100,Tokyo,2020,50m,Freestyle,Men,GBR,Ben Proud,21.72
101,101,Tokyo,2020,50m,Freestyle,Men,GRE,Kristian Gkolomeev,21.72
102,102,Tokyo,2020,50m,Freestyle,Men,ITA,Lorenzo Zazzeri,21.78
103,103,Tokyo,2020,50m,Freestyle,Men,NED,Thom De Boer,21.79
112,112,Tokyo,2020,100m,Backstroke,Women,AUS,Kaylee Mckeown,57.47
113,113,Tokyo,2020,100m,Backstroke,Women,CAN,Kylie Masse,57.72
114,114,Tokyo,2020,100m,Backstroke,Women,USA,Regan Smith,58.05
115,115,Tokyo,2020,100m,Backstroke,Women,USA,Rhyan Elizabeth White,58.43
116,116,Tokyo,2020,100m,Backstroke,Women,AUS,Emily Seebohm,58.45
117,117,Tokyo,2020,100m,Backstroke,Women,GBR,Kathleen Dawson,58.7
118,118,Tokyo,2020,100m,Backstroke,Women,NED,Kira Toussaint,59.11
119,119,Tokyo,2020,100m,Backstroke,Women,ISR,Anastasya Gorbenko,59.53
128,128,Tokyo,2020,100m,Butterfly,Women,CAN,Margaret Mac Neil,55.59
129,129,Tokyo,2020,100m,Butterfly,Women,CHN,Yufei Zhang,55.64
130,130,Tokyo,2020,100m,Butterfly,Women,AUS,Emma Mckeon,55.72
131,131,Tokyo,2020,100m,Butterfly,Women,USA,Torri Huske,55.73
132,132,Tokyo,2020,100m,Butterfly,Women,SWE,Louise Hansson,56.22
133,133,Tokyo,2020,100m,Butterfly,Women,FRA,Marie Wattel,56.27
134,134,Tokyo,2020,100m,Butterfly,Women,SWE,Sarah Sjoestroem,56.91
135,135,Tokyo,2020,100m,Butterfly,Women,BLR,Anastasiya Shkurdai,57.05
136,136,Tokyo,2020,100m,Freestyle,Women,AUS,Emma Mckeon,51.96
137,137,Tokyo,2020,100m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,52.27
138,138,Tokyo,2020,100m,Freestyle,Women,AUS,Cate Campbell,52.52
139,139,Tokyo,2020,100m,Freestyle,Women,CAN,Penny Oleksiak,52.59
140,140,Tokyo,2020,100m,Freestyle,Women,SWE,Sarah Sjoestroem,52.68
141,141,Tokyo,2020,100m,Freestyle,Women,NED,Femke Heemskerk,52.79
142,142,Tokyo,2020,100m,Freestyle,Women,GBR,Anna Hopkin,52.83
143,143,Tokyo,2020,100m,Freestyle,Women,USA,Abbey Weitzeil,53.23
208,208,Tokyo,2020,50m,Freestyle,Women,AUS,Emma Mckeon,23.81
209,209,Tokyo,2020,50m,Freestyle,Women,SWE,Sarah Sjoestroem,24.07
210,210,Tokyo,2020,50m,Freestyle,Women,DEN,Pernille Blume,24.21
211,211,Tokyo,2020,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.3
212,212,Tokyo,2020,50m,Freestyle,Women,POL,Katarzyna Wasick,24.32
213,213,Tokyo,2020,50m,Freestyle,Women,CHN,Qingfeng Wu,24.32
214,214,Tokyo,2020,50m,Freestyle,Women,AUS,Cate Campbell,24.36
215,215,Tokyo,2020,50m,Freestyle,Women,USA,Abbey Weitzeil,24.41
224,224,Rio,2016,100m,Backstroke,Men,USA,Ryan Murphy,51.97
225,225,Rio,2016,100m,Backstroke,Men,CHN,Jiayu Xu,52.31
226,226,Rio,2016,100m,Backstroke,Men,USA,David Plummer,52.4
227,227,Rio,2016,100m,Backstroke,Men,AUS,Mitchell Larkin,52.43
228,228,Rio,2016,100m,Backstroke,Men,FRA,Camille Lacourt,52.7
229,229,Rio,2016,100m,Backstroke,Men,RUS,Evgeny Rylov,52.74
230,230,Rio,2016,100m,Backstroke,Men,JPN,Ryosuke Irie,53.42
231,231,Rio,2016,100m,Backstroke,Men,ROU,Robert Glinta,53.5
232,232,Rio,2016,100m,Backstroke,Women,HUN,Katinka Hosszu,58.45
233,233,Rio,2016,100m,Backstroke,Women,USA,Kathleen Baker,58.75
234,234,Rio,2016,100m,Backstroke,Women,CAN,Kylie Masse,58.76
