,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results
24,2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02
25,2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08
26,2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44
27,2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72
28,2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82
29,2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86
30,2020,100m,Freestyle,Men,ROU,David Popovici,48.04
31,2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1
111,2016,100m,Freestyle,Men,AUS,Kyle Chalmers,47.58
112,2016,100m,Freestyle,Men,BEL,Pieter Timmers,47.8
113,2016,100m,Freestyle,Men,USA,Nathan Adrian,47.85
114,2016,100m,Freestyle,Men,CAN,Santo Condorelli,47.88
115,2016,100m,Freestyle,Men,GBR,Duncan Scott,48.01
116,2016,100m,Freestyle,Men,USA,Caeleb Dressel,48.02
117,2016,100m,Freestyle,Men,AUS,Cameron Mcevoy,48.12
118,2016,100m,Freestyle,Men,BRA,Marcelo Chierighini,48.41
181,2012,100m,Freestyle,Men,USA,Nathan Adrian,47.52
182,2012,100m,Freestyle,Men,AUS,James Magnussen,47.53
183,2012,100m,Freestyle,Men,CAN,Brent Hayden,47.8
184,2012,100m,Freestyle,Men,FRA,Yannick Agnel,47.84
185,2012,100m,Freestyle,Men,NED,Sebastiaan Verschuren,47.88
186,2012,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.92
187,2012,100m,Freestyle,Men,CUB,Hanser Garcia,48.04
188,2012,100m,Freestyle,Men,RUS,Nikita Lobintsev,48.44
249,2008,100m,Freestyle,Men,FRA,Alain Bernard,47.21
250,2008,100m,Freestyle,Men,AUS,Eamon Sullivan,47.32
251,2008,100m,Freestyle,Men,USA,Jason Lezak,47.67
252,2008,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.67
253,2008,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,47.75
254,2008,100m,Freestyle,Men,RSA,Lyndon Ferns,48.04
255,2008,100m,Freestyle,Men,AUS,Matt Targett,48.2
256,2008,100m,Freestyle,Men,SWE,Stefan Nystrand,48.33
305,2004,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.17
306,2004,100m,Freestyle,Men,RSA,Roland Schoeman,48.23
307,2004,100m,Freestyle,Men,AUS,Ian Thorpe,48.56
308,2004,100m,Freestyle,Men,RSA,Ryk Neethling,48.63
309,2004,100m,Freestyle,Men,ITA,Filippo Magnini,48.99
310,2004,100m,Freestyle,Men,CRO,Duje Draganja,49.23
311,2004,100m,Freestyle,Men,ALG,Salim Iles,49.3
312,2004,100m,Freestyle,Men,RUS,Andrey Kapralov,49.3
361,2000,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.3
362,2000,100m,Freestyle,Men,RUS,Alexander Popov,48.69
363,2000,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.73
364,2000,100m,Freestyle,Men,AUS,Michael Klim,48.74
365,2000,100m,Freestyle,Men,USA,Neil Walker,49.09
366,2000,100m,Freestyle,Men,SWE,Lars Frolander,49.22
367,2000,100m,Freestyle,Men,RUS,Denis Pimankov,49.36
368,2000,100m,Freestyle,Men,AUS,Christopher John Fydler,49.44
412,1996,100m,Freestyle,Men,RUS,Alexander Popov,48.74
413,1996,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.81
414,1996,100m,Freestyle,Men,BRA,Gustavo Borges,49.02
415,1996,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,49.13
416,1996,100m,Freestyle,Men,BRA,Fernando Scherer,49.57
417,1996,100m,Freestyle,Men,UKR,Pavlo Khnykin,49.65
418,1996,100m,Freestyle,Men,PUR,Ricardo Busquets Healy,49.68
419,1996,100m,Freestyle,Men,VEN,Francisco Sanchez,49.84
466,1992,100m,Freestyle,Men,EUN,Alexander Popov,49.02
467,1992,100m,Freestyle,Men,BRA,Gustavo Borges,49.43
468,1992,100m,Freestyle,Men,FRA,Stephan Caron,49.5
469,1992,100m,Freestyle,Men,USA,Jon Olsen,49.51
470,1992,100m,Freestyle,Men,USA,Matthew Biondi,49.53
471,1992,100m,Freestyle,Men,SWE,Tommy Werner,49.63
472,1992,100m,Freestyle,Men,GER,Christian Tröger,49.84
473,1992,100m,Freestyle,Men,EUN,Gennady Prigoda,50.25
518,1988,100m,Freestyle,Men,USA,Matthew Biondi,48.63
519,1988,100m,Freestyle,Men,USA,Christopher Charles Jacobs,49.08
520,1988,100m,Freestyle,Men,FRA,Stephan Caron,49.62
521,1988,100m,Freestyle,Men,URS,Gennady Prigoda,49.75
522,1988,100m,Freestyle,Men,URS,Iurie Başcatov,50.08
523,1988,100m,Freestyle,Men,AUS,Andrew James Baildon,50.23
524,1988,100m,Freestyle,Men,SWE,Per Johansson,50.35
525,1988,100m,Freestyle,Men,SWE,Tommy Werner,50.54
567,1984,100m,Freestyle,Men,USA,Ambrose Iv Gaines,49.8
568,1984,100m,Freestyle,Men,AUS,Marcus Stockwell,50.24
569,1984,100m,Freestyle,Men,SWE,Per Johansson,50.31
