,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results
56,2020,100m,Freestyle,Women,AUS,Emma Mckeon,51.96
57,2020,100m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,52.27
58,2020,100m,Freestyle,Women,AUS,Cate Campbell,52.52
59,2020,100m,Freestyle,Women,CAN,Penny Oleksiak,52.59
60,2020,100m,Freestyle,Women,SWE,Sarah Sjoestroem,52.68
61,2020,100m,Freestyle,Women,NED,Femke Heemskerk,52.79
62,2020,100m,Freestyle,Women,GBR,Anna Hopkin,52.83
63,2020,100m,Freestyle,Women,USA,Abbey Weitzeil,53.23
64,2020,50m,Freestyle,Women,AUS,Emma Mckeon,23.81
65,2020,50m,Freestyle,Women,SWE,Sarah Sjoestroem,24.07
66,2020,50m,Freestyle,Women,DEN,Pernille Blume,24.21
67,2020,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.3
68,2020,50m,Freestyle,Women,POL,Katarzyna Wasick,24.32
69,2020,50m,Freestyle,Women,CHN,Qingfeng Wu,24.32
70,2020,50m,Freestyle,Women,AUS,Cate Campbell,24.36
71,2020,50m,Freestyle,Women,USA,Abbey Weitzeil,24.41
119,2016,100m,Freestyle,Women,USA,Simone Manuel,52.7
120,2016,100m,Freestyle,Women,CAN,Penny Oleksiak,52.7
121,2016,100m,Freestyle,Women,SWE,Sarah Sjostrom,52.99
122,2016,100m,Freestyle,Women,AUS,Bronte Campbell,53.04
123,2016,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.08
124,2016,100m,Freestyle,Women,AUS,Cate Campbell,53.24
125,2016,100m,Freestyle,Women,USA,Abbey Weitzeil,53.3
126,2016,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.36
135,2016,50m,Freestyle,Women,DEN,Pernille Blume,24.07
136,2016,50m,Freestyle,Women,USA,Simone Manuel,24.09
137,2016,50m,Freestyle,Women,BLR,Aliaksandra Herasimenia,24.11
138,2016,50m,Freestyle,Women,GBR,Francesca Halsall,24.13
139,2016,50m,Freestyle,Women,AUS,Cate Campbell,24.15
140,2016,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.19
141,2016,50m,Freestyle,Women,AUS,Bronte Campbell,24.42
142,2016,50m,Freestyle,Women,BRA,Etiene Medeiros,24.69
189,2012,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.0
190,2012,100m,Freestyle,Women,BLR,Aliaksandra Herasimenia,53.38
191,2012,100m,Freestyle,Women,CHN,Yi Tang,53.44
192,2012,100m,Freestyle,Women,AUS,Melanie Schlanger,53.47
193,2012,100m,Freestyle,Women,USA,Missy Franklin,53.64
194,2012,100m,Freestyle,Women,GBR,Francesca Halsall,53.66
