,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results
56,2020,100m,Freestyle,Women,AUS,Emma Mckeon,51.96
57,2020,100m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,52.27
58,2020,100m,Freestyle,Women,AUS,Cate Campbell,52.52
59,2020,100m,Freestyle,Women,CAN,Penny Oleksiak,52.59
60,2020,100m,Freestyle,Women,SWE,Sarah Sjoestroem,52.68
61,2020,100m,Freestyle,Women,NED,Femke Heemskerk,52.79
62,2020,100m,Freestyle,Women,GBR,Anna Hopkin,52.83
63,2020,100m,Freestyle,Women,USA,Abbey Weitzeil,53.23
119,2016,100m,Freestyle,Women,USA,Simone Manuel,52.7
120,2016,100m,Freestyle,Women,CAN,Penny Oleksiak,52.7
121,2016,100m,Freestyle,Women,SWE,Sarah Sjostrom,52.99
122,2016,100m,Freestyle,Women,AUS,Bronte Campbell,53.04
123,2016,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.08
124,2016,100m,Freestyle,Women,AUS,Cate Campbell,53.24
125,2016,100m,Freestyle,Women,USA,Abbey Weitzeil,53.3
126,2016,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.36
189,2012,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.0
190,2012,100m,Freestyle,Women,BLR,Aliaksandra Herasimenia,53.38
191,2012,100m,Freestyle,Women,CHN,Yi Tang,53.44
192,2012,100m,Freestyle,Women,AUS,Melanie Schlanger,53.47
193,2012,100m,Freestyle,Women,USA,Missy Franklin,53.64
194,2012,100m,Freestyle,Women,GBR,Francesca Halsall,53.66
195,2012,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.75
196,2012,100m,Freestyle,Women,USA,Jessica Hardy,54.02
257,2008,100m,Freestyle,Women,GER,Britta Steffen,53.12
258,2008,100m,Freestyle,Women,AUS,Libby Trickett,53.16
259,2008,100m,Freestyle,Women,USA,Natalie Coughlin,53.39
260,2008,100m,Freestyle,Women,FIN,Hanna-Maria Seppala,53.97
261,2008,100m,Freestyle,Women,DEN,Jeanette Ottesen,54.06
262,2008,100m,Freestyle,Women,CHN,Yingwen Zhu,54.21
263,2008,100m,Freestyle,Women,NED,Marleen Veldhuis,54.21
264,2008,100m,Freestyle,Women,GBR,Francesca Halsall,54.29
313,2004,100m,Freestyle,Women,AUS,Jodie Henry,53.84
314,2004,100m,Freestyle,Women,NED,Inge De Bruijn,54.16
315,2004,100m,Freestyle,Women,USA,Natalie Coughlin,54.4
316,2004,100m,Freestyle,Women,FRA,Malia Metella,54.5
317,2004,100m,Freestyle,Women,USA,Kara Lynn Joyce,54.54
318,2004,100m,Freestyle,Women,GRE,Nery Mantey Niangkouara,54.81
