,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
24,2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02,1
25,2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08,2
26,2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44,3
27,2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72,4
28,2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82,4
29,2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86,4
30,2020,100m,Freestyle,Men,ROU,David Popovici,48.04,4
31,2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1,4
111,2016,100m,Freestyle,Men,AUS,Kyle Chalmers,47.58,1
112,2016,100m,Freestyle,Men,BEL,Pieter Timmers,47.8,2
113,2016,100m,Freestyle,Men,USA,Nathan Adrian,47.85,3
114,2016,100m,Freestyle,Men,CAN,Santo Condorelli,47.88,4
115,2016,100m,Freestyle,Men,GBR,Duncan Scott,48.01,4
116,2016,100m,Freestyle,Men,USA,Caeleb Dressel,48.02,4
117,2016,100m,Freestyle,Men,AUS,Cameron Mcevoy,48.12,4
118,2016,100m,Freestyle,Men,BRA,Marcelo Chierighini,48.41,4
181,2012,100m,Freestyle,Men,USA,Nathan Adrian,47.52,1
182,2012,100m,Freestyle,Men,AUS,James Magnussen,47.53,2
183,2012,100m,Freestyle,Men,CAN,Brent Hayden,47.8,3
184,2012,100m,Freestyle,Men,FRA,Yannick Agnel,47.84,4
185,2012,100m,Freestyle,Men,NED,Sebastiaan Verschuren,47.88,4
186,2012,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.92,4
187,2012,100m,Freestyle,Men,CUB,Hanser Garcia,48.04,4
188,2012,100m,Freestyle,Men,RUS,Nikita Lobintsev,48.44,4
249,2008,100m,Freestyle,Men,FRA,Alain Bernard,47.21,1
250,2008,100m,Freestyle,Men,AUS,Eamon Sullivan,47.32,2
251,2008,100m,Freestyle,Men,USA,Jason Lezak,47.67,3
252,2008,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.67,3
253,2008,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,47.75,4
254,2008,100m,Freestyle,Men,RSA,Lyndon Ferns,48.04,4
255,2008,100m,Freestyle,Men,AUS,Matt Targett,48.2,4
256,2008,100m,Freestyle,Men,SWE,Stefan Nystrand,48.33,4
305,2004,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.17,1
306,2004,100m,Freestyle,Men,RSA,Roland Schoeman,48.23,2
307,2004,100m,Freestyle,Men,AUS,Ian Thorpe,48.56,3
308,2004,100m,Freestyle,Men,RSA,Ryk Neethling,48.63,4
309,2004,100m,Freestyle,Men,ITA,Filippo Magnini,48.99,4
310,2004,100m,Freestyle,Men,CRO,Duje Draganja,49.23,4
311,2004,100m,Freestyle,Men,ALG,Salim Iles,49.3,4
312,2004,100m,Freestyle,Men,RUS,Andrey Kapralov,49.3,4
361,2000,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.3,1
362,2000,100m,Freestyle,Men,RUS,Alexander Popov,48.69,2
363,2000,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.73,3
364,2000,100m,Freestyle,Men,AUS,Michael Klim,48.74,4
365,2000,100m,Freestyle,Men,USA,Neil Walker,49.09,4
366,2000,100m,Freestyle,Men,SWE,Lars Frolander,49.22,4
367,2000,100m,Freestyle,Men,RUS,Denis Pimankov,49.36,4
368,2000,100m,Freestyle,Men,AUS,Christopher John Fydler,49.44,4
412,1996,100m,Freestyle,Men,RUS,Alexander Popov,48.74,1
413,1996,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.81,2
414,1996,100m,Freestyle,Men,BRA,Gustavo Borges,49.02,3
415,1996,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,49.13,4
416,1996,100m,Freestyle,Men,BRA,Fernando Scherer,49.57,4
417,1996,100m,Freestyle,Men,UKR,Pavlo Khnykin,49.65,4
418,1996,100m,Freestyle,Men,PUR,Ricardo Busquets Healy,49.68,4
419,1996,100m,Freestyle,Men,VEN,Francisco Sanchez,49.84,4
466,1992,100m,Freestyle,Men,EUN,Alexander Popov,49.02,1
467,1992,100m,Freestyle,Men,BRA,Gustavo Borges,49.43,2
468,1992,100m,Freestyle,Men,FRA,Stephan Caron,49.5,3
469,1992,100m,Freestyle,Men,USA,Jon Olsen,49.51,4
470,1992,100m,Freestyle,Men,USA,Matthew Biondi,49.53,4
471,1992,100m,Freestyle,Men,SWE,Tommy Werner,49.63,4
472,1992,100m,Freestyle,Men,GER,Christian Tröger,49.84,4
473,1992,100m,Freestyle,Men,EUN,Gennady Prigoda,50.25,4
