,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
32,2020,50m,Freestyle,Men,USA,Caeleb Dressel,21.07,1
127,2016,50m,Freestyle,Men,USA,Anthony Ervin,21.4,1
197,2012,50m,Freestyle,Men,FRA,Florent Manaudou,21.34,1
265,2008,50m,Freestyle,Men,BRA,Cesar Cielo Filho,21.3,1
321,2004,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.93,1
377,2000,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.98,1
378,2000,50m,Freestyle,Men,USA,Anthony Ervin,21.98,1
428,1996,50m,Freestyle,Men,RUS,Alexander Popov,22.13,1
482,1992,50m,Freestyle,Men,EUN,Alexander Popov,21.91,1
534,1988,50m,Freestyle,Men,USA,Matthew Biondi,22.14,1
