,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
56,2020,100m,Freestyle,Women,AUS,Emma Mckeon,51.96,1
57,2020,100m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,52.27,2
58,2020,100m,Freestyle,Women,AUS,Cate Campbell,52.52,3
59,2020,100m,Freestyle,Women,CAN,Penny Oleksiak,52.59,4
60,2020,100m,Freestyle,Women,SWE,Sarah Sjoestroem,52.68,4
61,2020,100m,Freestyle,Women,NED,Femke Heemskerk,52.79,4
62,2020,100m,Freestyle,Women,GBR,Anna Hopkin,52.83,4
63,2020,100m,Freestyle,Women,USA,Abbey Weitzeil,53.23,4
119,2016,100m,Freestyle,Women,USA,Simone Manuel,52.7,1
120,2016,100m,Freestyle,Women,CAN,Penny Oleksiak,52.7,1
121,2016,100m,Freestyle,Women,SWE,Sarah Sjostrom,52.99,3
122,2016,100m,Freestyle,Women,AUS,Bronte Campbell,53.04,4
123,2016,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.08,4
124,2016,100m,Freestyle,Women,AUS,Cate Campbell,53.24,4
125,2016,100m,Freestyle,Women,USA,Abbey Weitzeil,53.3,4
126,2016,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.36,4
189,2012,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.0,1
190,2012,100m,Freestyle,Women,BLR,Aliaksandra Herasimenia,53.38,2
191,2012,100m,Freestyle,Women,CHN,Yi Tang,53.44,3
192,2012,100m,Freestyle,Women,AUS,Melanie Schlanger,53.47,4
193,2012,100m,Freestyle,Women,USA,Missy Franklin,53.64,4
194,2012,100m,Freestyle,Women,GBR,Francesca Halsall,53.66,4
195,2012,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.75,4
196,2012,100m,Freestyle,Women,USA,Jessica Hardy,54.02,4
257,2008,100m,Freestyle,Women,GER,Britta Steffen,53.12,1
258,2008,100m,Freestyle,Women,AUS,Libby Trickett,53.16,2
259,2008,100m,Freestyle,Women,USA,Natalie Coughlin,53.39,3
260,2008,100m,Freestyle,Women,FIN,Hanna-Maria Seppala,53.97,4
261,2008,100m,Freestyle,Women,DEN,Jeanette Ottesen,54.06,4
262,2008,100m,Freestyle,Women,CHN,Yingwen Zhu,54.21,4
263,2008,100m,Freestyle,Women,NED,Marleen Veldhuis,54.21,4
264,2008,100m,Freestyle,Women,GBR,Francesca Halsall,54.29,4
313,2004,100m,Freestyle,Women,AUS,Jodie Henry,53.84,1
314,2004,100m,Freestyle,Women,NED,Inge De Bruijn,54.16,2
315,2004,100m,Freestyle,Women,USA,Natalie Coughlin,54.4,3
316,2004,100m,Freestyle,Women,FRA,Malia Metella,54.5,4
317,2004,100m,Freestyle,Women,USA,Kara Lynn Joyce,54.54,4
318,2004,100m,Freestyle,Women,GRE,Nery Mantey Niangkouara,54.81,4
319,2004,100m,Freestyle,Women,SVK,Martina Moravcova,55.12,4
320,2004,100m,Freestyle,Women,BLR,Alena Popchanka,55.24,4
369,2000,100m,Freestyle,Women,NED,Inge De Bruijn,53.83,1
370,2000,100m,Freestyle,Women,SWE,Therese Alshammar,54.33,2
371,2000,100m,Freestyle,Women,USA,Jenny Thompson,54.43,3
372,2000,100m,Freestyle,Women,USA,Dara Torres,54.43,3
373,2000,100m,Freestyle,Women,SVK,Martina Moravcova,54.72,4
374,2000,100m,Freestyle,Women,RSA,Helene Muller,55.19,4
375,2000,100m,Freestyle,Women,JPN,Sumika Minamoto,55.53,4
376,2000,100m,Freestyle,Women,NED,Wilma Van Rijn,55.58,4
420,1996,100m,Freestyle,Women,CHN,Jingyi Le,54.5,1
421,1996,100m,Freestyle,Women,GER,Sandra Voelker,54.88,2
422,1996,100m,Freestyle,Women,USA,Angel Martino,54.93,3
423,1996,100m,Freestyle,Women,USA,Amy Van Dyken,55.11,4
424,1996,100m,Freestyle,Women,GER,Franziska Van Almsick,55.59,4
425,1996,100m,Freestyle,Women,AUS,Sarah Ryan,55.85,4
426,1996,100m,Freestyle,Women,DEN,Mette Jacobsen,56.01,4
427,1996,100m,Freestyle,Women,NED,Karin Brienesse,56.12,4
474,1992,100m,Freestyle,Women,CHN,Yong Zhuang,54.64,1
475,1992,100m,Freestyle,Women,USA,Jenny Thompson,54.84,2
476,1992,100m,Freestyle,Women,GER,Franziska Van Almsick,54.94,3
477,1992,100m,Freestyle,Women,USA,Nicole Lee Haislett,55.19,4
478,1992,100m,Freestyle,Women,FRA,Catherine Plewinski,55.72,4
479,1992,100m,Freestyle,Women,CHN,Jingyi Le,55.89,4
480,1992,100m,Freestyle,Women,GER,Simone Osygus,55.93,4
481,1992,100m,Freestyle,Women,NED,Karin Brienesse,56.59,4
526,1988,100m,Freestyle,Women,GDR,Kristin Otto,54.93,1
527,1988,100m,Freestyle,Women,CHN,Yong Zhuang,55.47,2
528,1988,100m,Freestyle,Women,FRA,Catherine Plewinski,55.49,3
529,1988,100m,Freestyle,Women,GDR,Manuela Stellmach,55.52,4
530,1988,100m,Freestyle,Women,CRC,Silvia Poll Ahrens,55.9,4
531,1988,100m,Freestyle,Women,NED,Karin Brienesse,56.15,4
532,1988,100m,Freestyle,Women,USA,Dara Torres,56.25,4
533,1988,100m,Freestyle,Women,NED,Conny Van Bentum,56.54,4
575,1984,100m,Freestyle,Women,USA,Nancy Lynn Hogshead,55.92,1
576,1984,100m,Freestyle,Women,USA,Carolyn Steinseifer,55.92,1
577,1984,100m,Freestyle,Women,NED,Annemarie Verstappen,56.08,3
578,1984,100m,Freestyle,Women,NED,Conny Van Bentum,56.43,4
579,1984,100m,Freestyle,Women,AUS,Michelle Pearson,56.83,4
580,1984,100m,Freestyle,Women,GBR,June Croft,56.9,4
581,1984,100m,Freestyle,Women,FRG,Susanne Schuster,57.11,4
582,1984,100m,Freestyle,Women,AUS,Angela Russell,58.09,4
607,1980,100m,Freestyle,Women,GDR,Barbara Krause,54.79,1
608,1980,100m,Freestyle,Women,GDR,Caren Metschuck,55.16,2
609,1980,100m,Freestyle,Women,GDR,Ines Diers,55.65,3
610,1980,100m,Freestyle,Women,URS,Olga Klevakina,57.4,4
